datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1956-01,169,0,2,0,0,1,0,0
1956-02,731,0,8,0,0,60,0,0
1956-03,273,0,4,0,0,0,0,0
1956-04,276,0,3,0,0,0,0,0
1956-05,290,0,2,0,0,1,0,0
1956-06,2740,1,3229,0,3,155,2,0
1956-07,249,0,6,0,0,5,0,0
1956-08,170,0,4,0,0,2,0,0
1956-09,144,0,3,0,0,3,0,0
1956-10,110,0,5,0,0,1,0,0
1956-11,111,0,4,0,0,3,0,0
1956-12,80,0,1,0,0,2,0,0
1957-01,153,0,5,0,0,0,0,0
1957-02,625,0,9,0,0,55,0,0
1957-03,236,1,6,0,0,1,0,0
1957-04,239,0,2,0,0,2,0,0
1957-05,238,0,3,0,0,3,0,0
1957-06,2161,5,3195,0,0,143,2,0
1957-07,233,0,5,0,0,8,0,0
1957-08,139,0,4,0,0,1,0,0
1957-09,145,0,3,0,0,7,0,0
1957-10,95,0,4,0,0,2,0,0
1957-11,94,0,3,0,0,2,0,0
1957-12,85,0,5,0,0,1,0,0
1958-01,153,0,4,0,0,2,0,0
1958-02,686,0,4,0,0,54,0,0
1958-03,111,0,5,0,0,4,0,0
1958-04,127,0,5,0,0,1,0,0
1958-05,157,0,5,0,0,3,0,0
1958-06,1942,4,3985,1,2,101,0,0
1958-07,184,0,7,0,0,4,0,0
1958-08,97,0,6,0,0,0,0,0
1958-09,144,0,4,0,0,1,0,0
1958-10,96,0,5,0,0,3,0,0
1958-11,82,0,7,0,0,3,0,0
1958-12,93,0,3,0,0,0,0,0
1959-01,145,0,6,0,0,5,0,0
1959-02,806,0,11,0,0,79,0,0
1959-03,161,1,4,0,0,3,0,0
1959-04,165,0,5,0,0,5,0,0
1959-05,206,0,5,0,0,6,0,0
1959-06,2005,2,3796,1,1,93,0,0
1959-07,236,0,5,0,0,3,0,0
1959-08,106,0,7,0,0,2,0,0
1959-09,167,0,6,0,0,5,0,0
1959-10,123,0,5,0,0,4,0,0
1959-11,104,0,5,0,0,5,0,0
1959-12,95,0,3,0,0,5,0,0
1960-01,170,0,8,0,0,5,0,0
1960-02,771,0,16,0,0,67,0,0
1960-03,179,0,8,0,0,4,0,0
1960-04,201,0,6,0,0,5,0,0
1960-05,196,0,6,0,0,3,0,0
1960-06,2242,12,5815,1,3,110,4,0
1960-07,204,0,6,0,0,8,0,0
1960-08,107,1,3,0,0,4,0,0
1960-09,154,0,7,0,0,4,0,0
1960-10,91,0,7,0,0,5,0,0
1960-11,65,0,5,0,0,3,0,0
1960-12,92,0,8,0,0,2,0,0
1961-01,173,0,3,0,0,7,0,0
1961-02,594,0,15,0,0,40,0,0
1961-03,279,1,12,0,0,6,0,0
1961-04,214,0,7,0,0,4,0,0
1961-05,239,0,11,0,0,5,0,0
1961-06,1871,4,3504,0,2,66,0,1
1961-07,258,0,3,0,0,4,0,0
1961-08,150,0,9,0,0,3,0,0
1961-09,171,0,9,0,0,4,0,0
1961-10,145,0,6,0,0,6,0,0
1961-11,117,0,8,0,0,5,0,0
1961-12,95,0,7,0,0,5,0,0
1962-01,206,0,11,0,0,14,0,0
1962-02,734,0,18,0,0,96,0,0
1962-03,226,0,13,0,0,9,0,0
1962-04,242,0,12,0,0,7,0,0
1962-05,236,0,10,0,0,11,0,0
1962-06,2039,4,4783,1,2,86,0,0
1962-07,234,0,10,0,0,12,0,0
1962-08,164,0,9,0,0,4,0,0
1962-09,192,0,12,0,0,11,0,0
1962-10,131,0,5,0,0,4,0,0
1962-11,147,0,4,0,0,11,0,0
1962-12,89,0,9,0,0,7,0,0
1963-01,186,0,7,0,0,10,0,0
1963-02,677,0,14,0,0,87,0,0
1963-03,253,0,16,0,0,12,0,0
1963-04,299,0,6,0,0,20,0,0
1963-05,284,1,14,0,0,12,0,0
1963-06,2088,4,4673,0,2,110,0,0
1963-07,302,1,12,0,0,15,0,0
1963-08,166,0,6,0,0,11,0,0
1963-09,175,0,10,0,0,17,0,0
1963-10,190,0,17,0,0,17,0,0
1963-11,128,0,6,0,0,12,0,0
1963-12,118,1,9,0,0,5,0,0
1964-01,213,0,18,0,0,19,0,0
1964-02,995,1,24,0,0,159,0,0
1964-03,303,0,13,0,0,18,0,0
1964-04,341,0,12,0,0,23,0,0
1964-05,324,0,17,0,0,21,0,0
1964-06,2946,5,4443,0,1,185,1,0
1964-07,364,0,19,0,0,29,0,0
1964-08,185,0,6,0,0,15,0,0
1964-09,243,1,9,0,0,15,0,0
1964-10,195,0,11,0,0,19,0,0
1964-11,184,0,12,0,0,11,0,0
1964-12,152,0,14,0,0,27,0,0
1965-01,278,0,12,0,0,27,0,0
1965-02,1742,1,20,0,0,308,0,0
1965-03,403,0,20,0,1,35,0,0
1965-04,383,0,19,0,0,25,0,0
1965-05,377,1,10,0,0,32,0,0
1965-06,3593,4,5551,0,2,276,1,0
1965-07,423,0,21,0,0,41,0,0
1965-08,242,1,17,0,0,22,0,0
1965-09,331,0,30,0,0,29,0,0
1965-10,272,0,18,0,0,34,0,0
1965-11,276,1,11,0,0,37,0,0
1965-12,428,1,18,0,0,57,0,0
1966-01,280,1,22,0,0,32,0,0
1966-02,1867,1,23,0,0,380,0,0
1966-03,392,0,18,0,0,54,0,0
1966-04,369,0,27,0,0,44,0,0
1966-05,418,0,26,0,0,56,0,0
1966-06,3643,5,3652,0,0,372,1,0
1966-07,460,0,14,0,0,57,0,0
1966-08,292,0,24,0,0,33,0,0
1966-09,393,0,26,0,0,52,0,0
1966-10,256,1,22,0,0,27,0,0
1966-11,280,0,23,0,0,43,0,0
1966-12,243,0,27,0,0,52,0,0
1967-01,389,0,19,0,0,65,0,0
1967-02,1948,0,28,0,0,408,0,0
1967-03,565,1,31,0,0,77,0,0
1967-04,495,0,18,0,0,71,0,0
1967-05,502,0,22,0,0,73,0,0
1967-06,4022,7,4187,0,2,427,1,1
1967-07,479,1,20,0,0,54,0,0
1967-08,323,1,21,0,0,36,0,0
1967-09,389,1,23,0,0,65,0,0
1967-10,349,1,21,0,0,65,0,0
1967-11,324,0,18,0,0,50,0,0
1967-12,21557,1,28,0,0,54,0,0
1968-01,430,0,30,0,0,50,0,0
1968-02,1875,0,27,0,0,373,0,0
