OBJECTNUMMER;Code;Locatie;Type_meetpunt;Type_meting;Meting_op_wettelijke_toetsafst;Afstand_tot_gevel_m;jaar_2020;jaar_2019;jaar_2018;jaar_2017;jaar_2016;jaar_2015;jaar_2014;jaar_2013;jaar_2012;jaar_2011;jaar_2010;LNG;LAT
65;RTK5;de Ruijterkade 5;Straat;Palmes;Nee;5,5;0;36;43,3;0;40,7;40,7;43,4;42,5;45;46,5;45,4;4,894705;52,382493
66;BS19;Beursstraat 19;Achtergrond;Palmes;;0;0;34,3;38,4;0;42,7;42,6;43,7;42,1;43,4;43,2;44,6;4,896805;52,374993
67;AV9;Amstelveld 9;Achtergrond;Palmes;;0;0;23,2;26;27;27,2;26,8;26,1;26,3;0;0;34,4;4,897905;52,362393
68;STDK115;Stadhouderskade 115;Straat;Palmes;Nee;2,7;0;42,3;45,3;48,8;47,7;45,1;47;45,3;47;47,5;48,1;4,898305;52,357993
69;UT66;Utrechtsestraat 66;Straat;Palmes;Ja;0;0;33,9;36;41,8;38,2;37,4;38,9;37,7;0;40,6;38,1;4,898505;52,362993
70;VWS56;van Woustraat 56;Straat;Palmes;Nee;2;0;33,5;34;40,4;0;38,3;39,4;41,9;44,5;42,4;43,8;4,900305;52,355993
71;HEN68;Prins Hendrikkade 68;Straat;Palmes;Nee;10,9;0;42;47,4;53;50,6;50,7;55,6;51,3;55,1;55,9;53,9;4,900605;52,376593
72;STDK137;Stadhouderskade 137;Straat;Palmes;Ja;0;0;40;41,9;46,3;45,8;43;41;38,9;42,8;45,4;42,3;4,900905;52,357993
73;HEMO18;Hemonylaan 18;Achtergrond;Palmes;;0;0;25,8;26,6;30,2;31;31,7;32,3;31,2;35,1;35,2;34;4,901105;52,357493
74;RBS28;Recht Boomssloot 28;Achtergrond;Palmes;;0;0;26,7;30,1;33,6;31,9;32,8;31,3;31,6;33,2;33,9;35,2;4,902505;52,372693
75;IJS27;IJsselstraat 27;Achtergrond;Palmes;;0;0;21,4;21,9;24;24,4;24,6;23,5;24,6;27,3;26,4;28,8;4,903305;52,347293
76;VLK/hoek;Valkenburgerstraat bij mr Visserplein;Straat;Palmes;Nee;10,9;0;44,5;51,5;51,2;47,2;50,4;54,3;52,6;53,4;52,2;53,9;4,903905;52,368493
77;AMS13;Amsteldijk 13;Straat;Palmes;Ja;0;0;33,5;34,8;37,4;0;0;0;0;0;0;0;4,904105;52,357593
78;RIJN31;Rijnstraat 31;Straat;Palmes;Nee;5,3;0;30;32,1;34,9;36,7;34,9;38,3;42,8;47,6;41,1;41,7;4,904905;52,347993
79;UIL70;Nieuwe Uilenburgerstraat 70;Achtergrond;Palmes;;0;0;24,8;27,1;26,9;28,1;27,8;28,4;28,5;32;30,7;33,8;4,905305;52,370693
80;BIN37;Binnenkant 37;Achtergrond;Palmes;;0;0;26,4;30,4;30,7;31,5;30,5;32,2;32,4;32,8;33,4;34,8;4,905405;52,372993
81;DORA1;Dora Tamanaplein 1;Achtergrond;Palmes;;0;0;22,9;23;26,6;25,6;23,6;24,3;23,9;27,3;26,6;28,8;4,905405;52,353793
